"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_019: Test post /V7/BinderInfo/GetUnclearedNotes","1188","TC_019: POST /V7/BinderInfo/GetUnclearedNotes","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_091: Test post /V5.0/TaxCaddyAPI/SendTaxCaddyInvitationReminder","1132","TC_091: POST /V5.0/TaxCaddyAPI/SendTaxCaddyInvitationReminder","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_023: Test post /V7/BinderInfo/GetUnreviewedWorkpapersByL2","1182","TC_023: POST /V7/BinderInfo/GetUnreviewedWorkpapersByL2","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_025: Test post /V7/BinderInfo/GetUnreviewedWorkpapersByL4","1142","TC_025: POST /V7/BinderInfo/GetUnreviewedWorkpapersByL4","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_066: Test post /V7/Lookup/GetLocalPathToDownloadFiles","1226","TC_066: POST /V7/Lookup/GetLocalPathToDownloadFiles","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_043: Test post /V7/Binder/GetPBFx/{binderId}","1229","TC_043: POST /V7/Binder/GetPBFx/{binderId}","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_031: Test post /V5.0/Binder/CreateBinder","1100","TC_031: POST /V5.0/Binder/CreateBinder","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_004: Test post /V5.0/BinderInfo/GetUnclearedNotes","1047","TC_004: POST /V5.0/BinderInfo/GetUnclearedNotes","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_105: Test post /V7/TaxCaddyAPI/GetDRLItems/{TaxYear}","1130","TC_105: POST /V7/TaxCaddyAPI/GetDRLItems/{TaxYear}","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_055: Test None","1433","TC_055: POST test_unknown_api_55","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_106: Test post /V7/TaxCaddyAPI/DeleteDRLItem/{DrlRequestId}","1145","TC_106: POST /V7/TaxCaddyAPI/DeleteDRLItem/{DrlRequestId}","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_065: Test post /V5.0/Lookup/BinderStatusList","1081","TC_065: POST /V5.0/Lookup/BinderStatusList","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_093: Test post /V5.0/TaxCaddyAPI/DeleteDRLItem/{DrlRequestId}","1181","TC_093: POST /V5.0/TaxCaddyAPI/DeleteDRLItem/{DrlRequestId}","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_029: Test post /V7/BinderInfo/GetBinderPendingItems","2065","TC_029: POST /V7/BinderInfo/GetBinderPendingItems","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_008: Test post /V5.0/BinderInfo/GetUnreviewedWorkpapersByL2","1099","TC_008: POST /V5.0/BinderInfo/GetUnreviewedWorkpapersByL2","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
